scenario,start_goal,algorithm,mean_ms,std_ms,median_ms,min_ms,visited,path_steps,path_cost
Short distance,"(1, 8)->(3, 3)",Dijkstra,0.0323,0.0043,0.0335,0.0262,14,8,16
Short distance,"(1, 8)->(3, 3)",A*,0.0284,0.0069,0.0253,0.0237,9,8,16
Short distance,"(1, 8)->(3, 3)",Bellman-Ford,0.2364,0.0064,0.2355,0.2293,59,8,16
Medium distance,"(1, 8)->(10, 2)",Dijkstra,0.0741,0.0028,0.0728,0.0718,37,14,30
Medium distance,"(1, 8)->(10, 2)",A*,0.0495,0.0013,0.0491,0.0485,19,14,30
Medium distance,"(1, 8)->(10, 2)",Bellman-Ford,0.2574,0.0586,0.2351,0.2304,59,14,30
Long distance,"(1, 8)->(13, 4)",Dijkstra,0.1203,0.0099,0.1162,0.1140,56,17,38
Long distance,"(1, 8)->(13, 4)",A*,0.0880,0.0133,0.0805,0.0775,28,17,38
Long distance,"(1, 8)->(13, 4)",Bellman-Ford,0.2539,0.0260,0.2407,0.2322,59,17,38
Random 1,"(10, 9)->(3, 3)",Dijkstra,0.0724,0.0033,0.0711,0.0700,35,13,25
Random 1,"(10, 9)->(3, 3)",A*,0.0407,0.0078,0.0381,0.0369,15,13,25
Random 1,"(10, 9)->(3, 3)",Bellman-Ford,0.3148,0.0236,0.3041,0.2969,59,13,25
Random 2,"(13, 5)->(0, 2)",Dijkstra,0.1481,0.0471,0.1467,0.0964,47,14,29
Random 2,"(13, 5)->(0, 2)",A*,0.0447,0.0031,0.0434,0.0419,14,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,0.3263,0.0863,0.2852,0.2749,59,14,29
