scenario,start_goal,algorithm,run,time_ms,visited,path_steps,path_cost
Short distance,"(1, 8)->(3, 3)",Dijkstra,1,0.040900,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,2,0.038700,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,3,0.036800,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,4,0.035200,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,5,0.033900,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,6,0.034200,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,7,0.033500,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,8,0.034400,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,9,0.035600,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,10,0.034600,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,11,0.034100,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,12,0.037100,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,13,0.034600,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,14,0.033300,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,15,0.033300,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,16,0.033100,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,17,0.033100,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,18,0.036100,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,19,0.034400,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,20,0.033500,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,21,0.030100,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,22,0.026700,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,23,0.026200,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,24,0.026500,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,25,0.026700,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,26,0.026500,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,27,0.026600,14,8,16
Short distance,"(1, 8)->(3, 3)",Dijkstra,28,0.026400,14,8,16
